"Person","Position","Level","Year"
"乐松生","北京市人民政府副市长","地方政府","1964-1975"
"胡厥文","上海市人民政府副市长","地方政府","1964-1975"
"荣毅仁","上海市人民政府副市长","地方政府","1964-1975"
"巩天民","辽宁省人民政府副省长","地方政府","1964-1975"
"苗海南","山东省人民政府副省长","地方政府","1964-1975"
"刘国钧","江苏省人民政府副省长","地方政府","1964-1975"
"陈经畲","湖北省人民政府副省长","地方政府","1964-1975"
"郭棣活","广东省人民政府副省长","地方政府","1964-1975"
"邓文钊","广东省人民政府副省长","地方政府","1964-1975"
"童少生","四川省人民政府副省长","地方政府","1964-1975"
"王少岩","云南省人民政府副省长","地方政府","1964-1975"
"史怀璧","云南省人民政府副省长","地方政府","1964-1975"
"许涤新","中央工商行政管理局局长","中央各部委","1964-1975"
"千家驹","中央工商行政管理局副局长","中央各部委","1964-1975"
"黄玠然","中央工商行政管理局副局长","中央各部委","1964-1975"
"杨扶青","水产部副部长","中央各部委","1964-1975"
"侯德榜","化学工业部副部长","中央各部委","1964-1975"
"陈维稷","纺织工业部副部长","中央各部委","1964-1975"
"荣毅仁","纺织工业部副部长","中央各部委","1964-1975"
"李烛尘","第一轻工业部部长","中央各部委","1964-1975"
"王新元","第一轻工业部副部长","中央各部委","1964-1975"
"沙千里","粮食部部长","中央各部委","1964-1975"
"王磊","商业部副部长","中央各部委","1964-1975"
"胡子婴","商业部副部长","中央各部委","1964-1975"
"卢绪章","对外贸易部副部长","中央各部委","1964-1975"
"黄长水","华侨事务委员会副主任","中央各部委","1964-1975"
